    Soil_Type,Soil_pH,Soil_Moisture,Nitrogen_Level,Phosphorus_Level,Potassium_Level,Temperature,Humidity,Rainfall,Crop_Type,Recommended_Fertilizer
Silt,7.32,41.19,101,63,84,35.63,60.34,2176.02,Maize,Zinc Sulphate
Sandy,5.01,37.94,107,87,103,14.15,71.43,1234.68,Maize,Compost
Loamy,8.02,24.78,96,14,46,17.69,75.45,1757.98,Maize,DAP
Loamy,4.88,47.84,119,47,10,26.91,35.27,1680.58,Maize,MOP
Silt,7.17,28.0,88,71,110,35.41,64.71,973.6,Maize,MOP
Silt,7.19,35.9,103,56,41,21.65,32.66,2723.04,Maize,NPK
Clay,5.02,19.8,64,42,19,32.26,58.21,1172.38,Maize,MOP
Loamy,6.06,53.19,91,81,56,31.01,59.81,1072.44,Maize,MOP
Silt,5.88,42.09,107,27,16,21.73,78.85,1455.04,Maize,DAP
Silt,7.59,39.61,158,49,92,11.98,66.29,1652.69,Maize,NPK
Silt,7.51,30.46,78,55,97,34.57,55.59,503.73,Maize,NPK
Loamy,7.6,26.29,92,77,80,14.26,51.54,1614.46,Maize,Zinc Sulphate
Loamy,6.13,57.83,101,58,34,23.11,59.39,397.85,Maize,MOP
Loamy,6.41,58.29,154,37,65,26.02,50.66,1472.19,Maize,DAP
Loamy,8.1,36.14,30,22,44,30.05,83.82,992.31,Maize,Urea
Clay,5.84,53.17,101,41,114,18.21,32.44,1466.79,Maize,NPK
Sandy,7.44,41.06,91,34,48,27.76,81.91,1043.8,Maize,DAP
Sandy,7.78,54.21,48,48,54,23.37,33.25,2272.69,Maize,Urea
Silt,8.03,28.69,143,85,57,33.29,63.64,1607.26,Maize,Zinc Sulphate
Clay,8.11,44.68,44,61,37,12.79,37.17,1385.15,Maize,Urea
Clay,8.37,42.17,137,54,76,26.84,37.36,766.0,Maize,Zinc Sulphate
Clay,6.91,35.44,46,80,14,26.16,75.99,1091.49,Maize,Urea
Loamy,6.34,37.15,147,85,48,39.51,41.92,2821.82,Maize,NPK
Loamy,6.18,24.94,63,15,49,29.64,34.23,342.71,Maize,DAP
Clay,7.42,20.57,28,37,43,39.76,78.4,1651.1,Maize,Urea
Clay,7.48,38.19,114,61,20,22.55,80.36,906.33,Maize,MOP
Clay,7.0,38.27,120,17,97,26.35,39.59,2166.58,Maize,DAP
Clay,5.74,21.51,71,81,113,39.61,59.02,338.55,Maize,MOP
Clay,6.73,14.79,66,46,47,25.39,48.77,392.2,Maize,Compost
Clay,7.52,46.78,143,13,16,16.68,63.8,1923.46,Maize,DAP
Silt,7.66,37.38,149,73,68,31.93,87.94,482.87,Maize,NPK
Loamy,7.6,36.11,135,22,117,33.23,65.37,1631.45,Maize,DAP
Clay,4.81,37.62,63,31,13,37.47,51.02,1716.71,Maize,DAP
Sandy,5.09,21.94,36,65,118,18.13,44.89,1386.94,Maize,Urea
Silt,5.01,47.29,104,12,13,11.72,45.94,1973.37,Maize,DAP
Silt,6.28,34.75,51,89,100,18.58,48.01,768.73,Maize,Urea
Loamy,4.73,11.3,143,55,58,33.35,66.43,679.01,Maize,Compost
Loamy,4.56,44.49,146,23,102,26.6,65.44,1863.85,Maize,DAP
Loamy,8.13,29.92,150,52,16,17.56,51.3,393.66,Maize,MOP
Clay,6.66,52.55,157,31,42,26.22,40.13,683.29,Maize,DAP
Loamy,7.93,17.44,71,60,17,20.02,36.55,770.91,Maize,MOP
Sandy,4.55,22.85,92,79,50,10.34,31.73,833.73,Maize,Compost
Clay,6.18,48.55,130,61,102,38.11,62.92,1587.35,Maize,DAP
Loamy,5.33,32.56,131,17,18,15.12,61.34,1728.85,Maize,DAP
Sandy,7.51,32.29,64,60,109,19.54,78.28,2558.78,Maize,DAP
Loamy,7.34,51.93,82,83,78,18.78,46.26,2607.65,Maize,Urea
Sandy,4.86,12.39,34,66,41,38.53,77.46,484.61,Maize,Urea
Clay,7.66,36.05,53,68,109,16.13,87.4,1275.74,Maize,Urea
Sandy,8.45,43.5,27,17,119,13.31,76.65,2915.39,Maize,Urea
Clay,6.75,54.73,25,50,77,34.78,84.4,1381.59,Maize,Urea
Clay,6.11,53.39,153,34,18,38.24,80.97,306.94,Maize,DAP
Sandy,5.47,25.97,58,21,96,17.16,34.64,1194.78,Maize,Urea
Clay,7.69,51.51,24,38,26,14.98,55.53,1750.77,Maize,Urea
Loamy,6.85,47.52,90,16,61,36.69,67.33,2372.05,Maize,DAP
Silt,5.66,13.87,63,20,76,17.2,66.14,1922.93,Maize,DAP
Loamy,7.5,56.1,68,79,117,38.62,80.81,313.16,Maize,MOP
Silt,7.0,51.59,67,50,22,26.8,83.82,1192.01,Maize,MOP
Loamy,7.15,38.88,131,84,110,33.98,59.48,670.32,Maize,NPK
Silt,8.12,45.64,123,32,83,19.6,57.32,1655.13,Maize,DAP
Silt,5.03,52.84,134,24,48,26.05,41.66,2418.34,Maize,DAP
Sandy,7.32,55.62,123,79,11,31.76,62.04,516.37,Maize,MOP
Loamy,4.94,20.25,133,59,58,35.7,52.71,2261.62,Maize,Compost
Sandy,8.11,37.17,76,81,11,24.97,54.56,1745.61,Maize,MOP
Silt,8.4,50.76,50,66,94,24.38,75.81,601.78,Maize,Urea
Sandy,8.3,23.91,45,66,57,24.0,76.43,516.18,Maize,Urea
Clay,4.68,52.73,30,26,112,33.35,79.68,250.08,Maize,Urea
Loamy,7.78,31.84,129,79,59,33.6,47.16,1938.96,Maize,Compost
Loamy,6.39,31.49,42,81,60,12.73,51.04,2910.77,Maize,Urea
Loamy,6.03,47.03,31,57,87,35.21,74.05,1991.6,Maize,Urea
Silt,6.78,12.72,154,46,42,13.54,46.44,2276.87,Maize,NPK
Loamy,7.14,16.45,58,71,41,38.75,71.34,485.44,Maize,Urea
Sandy,6.44,12.03,84,64,73,16.17,61.29,751.29,Maize,Compost
Clay,7.21,54.74,86,37,57,13.91,89.21,871.44,Maize,DAP
Clay,6.26,39.55,73,18,105,25.49,41.17,2272.27,Maize,DAP
Clay,7.68,25.95,92,42,55,19.5,35.12,2320.19,Maize,Urea
Silt,7.69,46.09,23,52,63,38.11,58.5,2505.79,Maize,Urea
Silt,5.64,30.4,138,56,108,39.83,40.06,2008.53,Maize,SSP
Silt,6.08,43.53,78,67,25,29.27,77.24,1327.35,Maize,MOP
Loamy,5.38,29.04,73,76,85,25.34,32.99,2215.04,Maize,Compost
Silt,7.44,13.3,28,11,114,39.99,65.27,768.84,Maize,Urea
Silt,8.19,20.86,109,12,57,27.9,79.4,1079.58,Maize,DAP
Sandy,5.22,35.37,123,55,35,23.79,55.31,356.5,Maize,MOP
Sandy,5.66,31.79,22,11,74,16.65,71.54,2913.24,Maize,Urea
Loamy,8.45,32.62,80,89,66,17.28,42.33,1585.98,Maize,Zinc Sulphate
Silt,5.23,25.08,89,11,86,20.89,30.33,1256.57,Maize,DAP
Silt,8.09,26.6,116,84,98,11.96,60.26,295.67,Maize,Zinc Sulphate
Silt,5.51,33.58,32,72,10,20.43,63.05,2351.52,Maize,Urea
Clay,4.58,47.46,132,39,43,16.64,58.16,1696.91,Maize,DAP
Clay,5.74,14.07,28,18,78,14.73,48.72,271.98,Maize,Urea
Clay,6.57,38.51,128,59,27,26.49,50.67,450.16,Maize,MOP
Loamy,8.06,15.33,145,11,21,21.17,35.39,1804.42,Maize,DAP
Loamy,5.83,49.66,67,81,12,12.11,30.16,1660.73,Maize,MOP
Silt,4.84,38.91,67,19,116,24.83,34.52,1256.85,Maize,DAP
Sandy,5.04,20.78,71,36,10,35.03,85.89,1963.24,Maize,DAP
Loamy,7.25,30.12,95,70,89,13.15,56.31,1325.78,Maize,DAP
Sandy,6.81,38.89,95,69,102,13.37,36.19,861.2,Maize,NPK
Loamy,7.83,25.02,139,87,114,29.07,52.85,1865.54,Maize,Zinc Sulphate
Loamy,5.36,30.05,59,39,87,26.22,44.52,1533.85,Maize,Urea
Sandy,7.15,44.16,109,67,29,22.18,47.33,776.68,Maize,MOP
Silt,8.3,34.69,67,63,21,34.65,63.54,1511.06,Maize,MOP
Sandy,7.72,49.39,151,56,107,31.92,72.12,1072.26,Maize,MOP
Sandy,8.08,28.72,147,76,34,30.01,80.88,870.89,Maize,MOP
Clay,5.46,37.42,90,83,16,16.02,40.43,206.59,Maize,MOP
Silt,6.52,46.31,47,86,46,39.25,37.06,1011.28,Maize,Urea
Silt,4.89,51.97,100,11,59,30.28,64.53,550.82,Maize,DAP
Loamy,5.27,18.91,65,13,88,23.31,36.97,1225.21,Maize,DAP
Loamy,4.98,17.53,31,33,47,35.27,50.24,2482.12,Maize,Urea
Silt,5.89,41.22,63,54,62,31.65,49.63,1350.72,Maize,DAP
Loamy,7.34,57.35,58,47,15,30.17,56.51,395.57,Maize,Urea
Loamy,6.86,59.07,159,80,43,15.1,53.17,1894.0,Maize,Zinc Sulphate
Sandy,5.41,48.58,33,56,41,38.97,56.99,2148.36,Maize,Urea
Sandy,7.84,58.44,93,83,39,11.22,66.17,1692.07,Maize,MOP
Clay,4.61,34.42,103,59,116,39.67,82.19,683.61,Maize,Compost
Loamy,8.07,12.32,100,44,76,29.48,45.72,1381.71,Maize,Zinc Sulphate
Clay,5.78,27.38,50,11,35,17.8,36.31,1177.64,Maize,Urea
Clay,6.45,47.32,20,82,75,18.3,89.91,660.99,Maize,Urea
Clay,5.31,39.1,30,47,38,37.98,78.44,1092.21,Maize,Urea
Clay,6.65,51.69,146,76,88,33.6,46.99,1684.6,Maize,MOP
Loamy,5.39,16.12,101,86,13,33.5,67.43,2346.08,Maize,MOP
Clay,6.1,49.67,68,41,92,15.74,32.24,593.07,Maize,SSP
Clay,6.6,16.78,63,57,91,29.19,86.08,2304.87,Maize,MOP
Loamy,5.4,49.62,118,35,91,20.39,68.03,1812.54,Maize,DAP
Silt,5.42,36.1,120,69,62,23.35,38.13,1960.74,Maize,Compost
Loamy,5.03,41.51,49,82,32,19.31,54.32,2966.86,Maize,Urea
Silt,7.32,13.15,26,27,71,30.24,62.67,1041.44,Maize,Urea
Silt,6.92,19.88,100,28,92,28.5,88.65,1196.14,Maize,DAP
Loamy,7.59,25.71,95,83,109,19.74,73.81,1606.51,Maize,NPK
Silt,7.41,51.92,67,44,70,36.79,46.87,1998.46,Maize,DAP
Clay,7.4,13.25,119,84,48,39.81,76.35,1968.61,Maize,SSP
Sandy,6.52,31.09,21,73,33,30.64,86.35,2451.05,Maize,Urea
Clay,5.51,29.08,75,18,26,33.53,30.91,1047.76,Maize,DAP
Silt,6.34,37.63,39,22,99,33.05,42.26,2969.29,Maize,Urea
Loamy,8.3,29.39,63,48,13,27.61,64.49,2179.81,Maize,MOP
Silt,5.05,27.86,71,63,84,20.7,68.59,1338.72,Maize,Compost
Silt,5.49,35.81,155,11,91,20.58,72.3,825.93,Maize,DAP
Silt,7.44,56.27,32,51,104,22.28,46.85,365.24,Maize,Urea
Clay,6.55,26.58,29,23,111,25.54,71.62,2964.61,Maize,Urea
Silt,7.03,26.23,58,35,92,29.32,45.77,2199.39,Maize,Urea
Clay,8.24,28.3,128,56,111,20.6,73.65,1462.73,Maize,Zinc Sulphate
Silt,5.73,45.46,24,57,84,35.28,75.99,2114.08,Maize,Urea
Loamy,6.79,30.41,73,79,76,18.61,52.8,278.99,Maize,NPK
Sandy,7.46,43.33,129,10,23,21.64,52.31,889.18,Maize,DAP
Sandy,6.55,34.1,44,24,35,36.99,48.31,1395.04,Maize,Urea
Clay,5.06,46.82,53,86,82,13.93,54.55,1851.71,Maize,Urea
Silt,5.95,20.74,54,14,41,14.77,40.03,520.2,Maize,Urea
Loamy,5.58,30.88,99,65,102,13.51,82.96,2056.28,Maize,NPK
Sandy,5.21,32.86,78,80,40,11.79,88.33,2479.41,Maize,Compost
Loamy,6.72,14.8,152,12,105,36.83,64.24,1013.91,Maize,DAP
Sandy,7.99,24.2,30,74,90,14.52,31.58,2706.81,Maize,Urea
Sandy,7.91,50.71,97,70,64,36.09,38.81,487.83,Maize,Zinc Sulphate
Loamy,6.72,55.02,61,36,66,14.43,52.42,2332.69,Maize,DAP
Sandy,6.99,16.84,52,83,68,35.65,62.78,2262.1,Maize,Urea
Sandy,5.28,55.0,143,68,38,14.28,76.25,753.42,Maize,MOP
Sandy,8.48,34.43,129,32,69,30.01,58.51,446.18,Maize,DAP
Clay,8.47,49.73,132,85,42,13.64,55.22,210.2,Maize,Zinc Sulphate
Loamy,5.51,17.24,144,89,99,24.49,62.95,2468.1,Maize,Compost
Clay,8.43,13.87,92,65,14,39.54,81.89,2848.21,Maize,MOP
Sandy,6.56,59.24,113,41,91,36.83,36.73,613.7,Maize,DAP
Silt,5.17,39.33,20,84,81,21.74,79.41,2820.96,Maize,Urea
Sandy,6.05,52.77,55,28,74,14.46,64.85,2406.08,Maize,Urea
Loamy,5.25,43.75,41,69,111,27.05,59.27,907.62,Maize,Urea
Clay,6.59,52.5,65,72,107,21.28,88.51,2061.25,Maize,NPK
Loamy,8.08,25.4,78,12,60,38.54,78.89,807.76,Maize,DAP
Sandy,5.02,25.76,79,73,99,38.64,88.97,925.28,Maize,Compost
Sandy,6.72,12.39,138,85,105,25.42,88.65,444.46,Maize,DAP
Loamy,4.54,47.17,84,15,91,15.93,89.4,1208.43,Maize,DAP
Silt,6.37,36.73,41,35,87,12.92,48.38,1661.57,Maize,Urea
Sandy,6.08,12.98,154,40,90,27.35,40.53,2061.11,Maize,NPK
Silt,7.75,33.62,95,60,62,36.83,82.47,2517.98,Maize,MOP
Silt,4.88,38.35,128,47,85,34.49,32.43,1648.32,Maize,Compost
Loamy,8.2,52.18,148,69,15,36.82,43.72,994.9,Maize,MOP
Loamy,5.16,11.15,25,67,80,18.51,31.05,1934.89,Maize,Urea
Clay,7.95,48.28,28,61,40,26.86,83.54,322.44,Maize,Urea
Sandy,4.84,36.75,65,36,12,30.51,41.97,948.13,Maize,DAP
Clay,6.55,34.81,56,85,43,11.24,41.15,1566.44,Maize,Urea
Silt,8.47,10.51,60,46,78,14.21,57.54,559.59,Maize,Zinc Sulphate
Sandy,8.36,16.59,109,18,72,28.1,53.25,1851.67,Maize,DAP
Clay,6.97,39.72,94,29,39,13.66,82.43,1217.31,Maize,DAP
Loamy,7.7,18.48,89,49,96,15.21,67.24,1010.69,Maize,MOP
Sandy,7.61,27.3,84,21,105,31.2,31.23,1889.48,Maize,DAP
Clay,5.52,35.63,82,84,117,35.38,62.51,650.52,Maize,MOP
Loamy,7.44,20.46,134,66,116,37.1,44.35,1045.48,Maize,NPK
Clay,7.04,42.8,154,71,76,23.09,77.96,2575.61,Maize,NPK
Silt,7.42,21.99,36,49,13,37.86,83.67,302.37,Maize,Urea
Silt,8.08,30.93,55,86,12,16.44,60.61,1800.44,Maize,Urea
Clay,5.32,47.63,52,61,67,35.86,31.96,1272.56,Maize,Urea
Sandy,6.39,45.79,157,81,93,34.96,40.06,2843.21,Maize,Compost
Clay,4.86,33.52,62,47,38,36.1,82.65,2276.05,Maize,MOP
Sandy,5.41,21.12,47,55,42,33.86,81.4,2837.65,Maize,Urea
Loamy,5.46,53.57,135,81,33,36.52,35.09,1067.7,Maize,MOP
Clay,6.54,53.75,148,53,28,26.56,43.42,660.46,Maize,MOP
Clay,7.21,37.09,33,74,25,24.55,33.9,1250.63,Maize,Urea
Silt,6.19,14.55,129,71,51,37.94,81.12,1946.98,Maize,Compost
Clay,8.4,39.97,140,12,115,32.03,47.71,2039.94,Maize,DAP
Silt,7.06,32.73,79,43,28,34.76,83.58,1332.98,Maize,MOP
Sandy,7.22,53.29,101,73,41,38.55,62.99,2930.07,Maize,MOP
Clay,4.68,17.56,127,80,110,16.35,79.95,1956.9,Maize,Compost
Clay,6.61,55.64,148,47,103,14.41,84.74,1684.93,Maize,NPK
Silt,7.75,46.85,77,69,119,29.99,32.02,1394.19,Maize,Zinc Sulphate
Silt,4.68,30.79,116,16,115,39.63,53.87,2723.31,Maize,DAP
Silt,5.25,58.97,125,85,91,37.32,46.93,1987.06,Maize,Compost
Clay,5.69,47.96,93,60,25,20.65,74.66,1748.78,Maize,MOP
Loamy,4.77,50.97,72,67,45,34.9,44.89,1552.72,Maize,Compost
Clay,6.18,46.52,82,83,98,17.63,73.05,2433.96,Maize,Zinc Sulphate
Loamy,7.99,18.17,55,84,36,36.05,60.66,776.48,Maize,Urea
Clay,6.93,57.33,117,87,49,29.76,87.69,1190.55,Maize,NPK
Sandy,6.51,36.93,155,37,30,28.2,84.74,1293.45,Maize,DAP
Loamy,8.13,32.81,66,40,54,39.92,86.63,660.34,Maize,Zinc Sulphate
Sandy,6.53,23.38,115,65,117,10.59,54.53,1807.67,Maize,SSP
Clay,5.24,49.91,33,76,112,38.16,47.02,1395.85,Maize,Urea
Clay,6.95,56.89,155,47,58,23.83,88.85,1799.42,Maize,NPK
Silt,6.15,56.87,43,64,110,20.0,51.03,1849.78,Maize,Urea
Silt,5.07,58.3,148,74,14,17.87,47.27,2723.03,Maize,MOP
Sandy,6.76,42.95,119,10,74,38.55,56.76,846.02,Maize,DAP
Silt,7.86,10.23,58,87,16,17.75,31.62,2815.91,Maize,Urea
Silt,7.78,49.2,66,13,59,35.03,32.01,2447.95,Maize,DAP
Sandy,7.08,23.87,149,38,38,34.09,34.71,2261.17,Maize,DAP
Clay,7.79,56.92,135,15,12,37.13,38.46,2625.28,Maize,DAP
Loamy,5.16,54.79,143,36,94,39.54,44.94,2176.62,Maize,DAP
Clay,7.56,52.98,151,39,72,25.24,42.4,1636.16,Maize,DAP
Loamy,8.17,47.96,144,79,29,37.41,51.47,433.38,Maize,MOP
Loamy,7.94,36.09,102,44,11,31.74,56.28,2754.71,Maize,MOP
Silt,6.63,15.36,38,28,95,12.31,37.27,1370.26,Maize,Urea
Clay,5.03,12.69,131,44,40,25.71,75.55,699.71,Maize,Compost
Silt,7.82,21.34,146,33,99,24.88,56.3,2234.8,Maize,DAP
Sandy,7.31,54.48,123,69,113,29.78,43.12,1351.61,Maize,NPK
Loamy,5.68,20.58,65,74,101,36.63,60.08,816.06,Maize,NPK
Loamy,4.58,17.93,78,35,89,37.63,42.23,1864.16,Maize,DAP
Clay,8.24,43.08,36,86,49,22.21,52.83,394.26,Maize,Urea
Silt,4.77,30.06,67,82,71,36.43,68.24,1493.21,Maize,Compost
Clay,5.82,41.12,157,86,10,28.71,84.14,1676.17,Maize,MOP
Sandy,5.33,24.51,70,87,55,11.34,35.97,421.0,Maize,Compost
Silt,6.96,31.66,41,65,50,28.06,43.56,823.94,Maize,Urea
Sandy,8.27,34.25,25,54,106,39.06,85.81,223.87,Maize,Urea
Silt,5.59,12.64,59,33,38,16.24,74.63,493.26,Maize,Urea
Sandy,5.02,56.11,129,58,39,18.47,78.11,2061.21,Maize,MOP
Clay,7.72,32.77,36,17,39,35.28,45.99,831.76,Maize,Urea
Loamy,5.98,41.34,136,52,57,35.61,41.33,408.58,Maize,NPK
Clay,7.15,14.37,71,69,38,20.85,59.86,1062.8,Maize,MOP
Sandy,6.23,16.93,141,45,90,16.39,84.45,1906.64,Maize,SSP
Clay,7.59,41.44,142,67,77,33.53,46.12,415.85,Maize,NPK
Silt,6.0,22.33,63,25,89,24.85,56.97,295.49,Maize,DAP
Sandy,6.19,57.69,55,52,31,24.89,49.55,2527.62,Maize,Urea
Clay,7.37,25.99,131,85,110,17.26,67.34,2245.44,Maize,NPK
Silt,4.99,12.74,131,16,109,33.74,78.38,2364.48,Maize,DAP
Sandy,5.22,56.94,101,49,95,35.53,71.31,2314.99,Maize,Compost
Sandy,6.76,15.43,109,41,115,14.57,68.29,213.97,Maize,NPK
Sandy,7.7,34.52,36,25,72,39.96,55.22,265.4,Maize,Urea
Silt,7.07,57.35,147,52,57,26.47,89.84,1263.24,Maize,NPK
Loamy,5.97,18.5,49,41,81,34.92,38.87,2790.59,Maize,Urea
Loamy,5.66,12.87,99,22,18,23.51,52.48,2355.89,Maize,DAP
Silt,7.26,47.67,140,86,12,32.58,50.39,967.67,Maize,MOP
Clay,8.2,34.64,127,37,14,34.41,55.69,1370.39,Maize,DAP
Silt,6.32,10.84,32,83,12,13.75,59.91,1718.55,Maize,Urea
Clay,6.33,58.6,95,81,31,39.49,63.64,917.17,Maize,MOP
Sandy,7.38,27.81,155,66,95,22.86,72.74,2284.46,Maize,Urea
Loamy,5.71,55.85,65,75,78,12.09,59.9,2498.98,Maize,NPK
Clay,4.64,58.55,98,75,26,11.02,54.29,456.97,Maize,MOP
Loamy,4.85,59.46,23,21,29,33.69,48.12,937.89,Maize,Urea
Sandy,5.63,27.43,153,88,41,27.47,66.88,2810.22,Maize,Compost
Clay,8.29,10.54,30,44,25,28.48,84.44,2018.64,Potato,Urea
Loamy,6.96,46.67,130,62,34,38.07,40.12,1066.57,Potato,MOP
Loamy,7.28,55.24,96,49,11,27.8,58.22,2440.81,Potato,MOP
Silt,4.5,38.69,59,39,84,16.04,31.95,1091.62,Potato,Urea
Sandy,5.26,30.72,126,11,17,30.24,50.59,2968.13,Potato,DAP
Silt,7.09,30.84,116,15,78,31.03,69.5,924.56,Potato,DAP
Clay,6.68,46.91,142,77,87,26.31,39.69,838.36,Potato,NPK
Silt,7.22,56.58,140,61,117,34.06,60.72,574.88,Potato,Urea
Loamy,8.45,50.75,107,52,76,26.23,55.45,753.68,Potato,Zinc Sulphate
Sandy,5.34,26.29,75,13,15,24.11,42.03,1326.66,Potato,DAP
Silt,4.67,37.37,51,18,72,35.07,55.27,1543.48,Potato,Urea
Loamy,6.9,13.66,56,66,57,32.47,55.71,359.81,Potato,Urea
Clay,7.28,10.88,90,62,114,11.07,73.6,1981.54,Potato,MOP
Loamy,7.45,42.41,151,87,14,30.17,86.78,2938.35,Potato,MOP
Silt,5.39,49.74,40,27,63,10.34,33.82,2594.1,Potato,Urea
Sandy,5.98,41.93,142,20,85,24.14,83.02,1180.39,Potato,DAP
Clay,6.03,40.47,143,47,25,25.52,30.19,2883.27,Potato,MOP
Clay,4.64,16.52,123,18,52,29.23,79.22,1579.58,Potato,DAP
Sandy,6.25,45.51,43,20,48,12.13,88.86,2820.06,Potato,Urea
Loamy,8.08,13.38,153,44,56,20.94,31.06,2769.52,Potato,Zinc Sulphate
Loamy,5.46,21.9,111,42,43,19.46,41.36,377.31,Potato,Compost
Loamy,5.87,14.58,121,19,67,28.45,49.01,2013.14,Potato,DAP
Loamy,7.92,13.23,134,13,81,23.77,56.57,713.33,Potato,DAP
Loamy,5.74,34.73,76,47,81,19.15,57.12,1178.68,Potato,NPK
Clay,7.97,54.7,113,61,89,14.18,41.67,2488.04,Potato,Zinc Sulphate
Loamy,5.46,55.77,57,47,60,37.66,53.8,2167.93,Potato,Urea
Clay,6.45,27.52,155,73,63,21.25,68.88,2972.64,Potato,Zinc Sulphate
Clay,7.8,21.5,131,18,111,34.56,63.35,1012.83,Potato,DAP
Silt,6.37,11.38,78,16,10,39.24,50.24,1811.29,Potato,DAP
Clay,7.04,40.91,151,45,94,22.54,84.34,1281.47,Potato,NPK
Loamy,4.87,25.51,116,64,65,29.02,88.68,274.77,Potato,Compost
Sandy,6.01,21.5,22,35,31,21.52,72.07,549.23,Potato,Urea
Silt,6.21,23.74,63,79,41,20.9,86.54,696.73,Potato,MOP
Sandy,5.99,24.51,129,51,21,33.02,75.55,1324.53,Potato,MOP
Clay,6.82,16.48,33,70,69,35.08,46.75,2281.76,Potato,Urea
Loamy,8.45,59.39,60,34,49,24.04,51.53,2574.64,Potato,DAP
Loamy,5.22,56.02,37,12,116,30.43,36.44,1382.4,Potato,Urea
Clay,7.89,17.88,120,48,60,13.39,88.46,2187.92,Potato,Zinc Sulphate
Clay,7.83,39.12,98,41,45,11.94,76.87,750.2,Potato,Zinc Sulphate
Sandy,5.16,21.84,73,53,55,15.45,51.76,627.36,Potato,Compost
Silt,8.16,10.1,148,44,14,35.95,52.2,605.17,Potato,MOP
Clay,4.87,17.22,79,28,90,31.14,44.97,2390.33,Potato,DAP
Loamy,4.6,49.1,111,55,41,14.96,42.71,2995.34,Potato,Compost
Sandy,7.24,31.09,43,72,93,38.05,30.33,2444.24,Potato,Urea
Loamy,5.8,48.6,155,52,106,32.11,45.74,267.91,Potato,NPK
Silt,5.88,40.55,105,58,92,29.76,65.84,2680.62,Potato,Zinc Sulphate
Silt,6.24,48.18,111,87,111,23.86,63.48,2201.09,Potato,Zinc Sulphate
Silt,5.99,37.77,147,37,49,36.26,73.24,263.29,Potato,DAP
Clay,8.39,55.29,120,49,117,27.88,70.66,1046.83,Potato,Zinc Sulphate
Silt,7.6,25.03,148,73,86,11.74,31.21,2167.42,Potato,NPK
Silt,4.92,51.08,32,64,70,38.95,51.68,542.68,Potato,Urea
Clay,6.92,20.93,140,41,21,38.29,64.38,1774.1,Potato,MOP
Loamy,6.12,58.54,132,46,115,33.66,43.94,947.11,Potato,DAP
Clay,6.0,59.85,142,83,23,33.82,62.45,2476.09,Potato,MOP
Loamy,5.76,34.92,73,22,111,31.98,47.62,293.53,Potato,DAP
Clay,6.07,30.84,86,31,111,37.26,78.63,1131.5,Potato,DAP
Silt,4.84,30.42,130,41,111,24.09,77.28,324.77,Potato,Compost
Sandy,4.66,20.0,99,78,51,13.29,50.28,1725.0,Potato,Compost
Loamy,7.01,33.52,36,70,29,36.24,82.12,653.65,Potato,Urea
Silt,4.84,16.66,100,47,31,26.32,63.19,352.12,Potato,MOP
Clay,5.89,14.07,100,16,36,39.33,30.14,2230.73,Potato,DAP
Loamy,7.35,48.94,45,60,47,35.41,76.29,2527.24,Potato,Urea
Clay,4.98,31.96,159,46,96,35.08,85.29,711.9,Potato,Compost
Silt,4.6,16.13,35,37,104,26.22,56.29,375.75,Potato,Urea
Clay,7.4,54.59,43,16,38,27.53,88.38,1900.85,Potato,Urea
Loamy,5.92,47.98,112,74,32,17.99,49.16,2831.19,Potato,MOP
Loamy,7.46,24.88,117,62,52,21.07,30.75,632.43,Potato,Compost
Silt,6.31,43.29,28,54,110,15.7,44.24,2121.83,Potato,Urea
Clay,4.91,27.34,129,39,97,12.3,37.18,1553.37,Potato,DAP
Silt,7.75,56.58,118,79,21,35.26,41.94,2234.94,Potato,MOP
Sandy,8.21,31.15,125,85,87,12.83,50.06,2285.76,Potato,Zinc Sulphate
Silt,6.55,12.27,33,65,29,24.15,40.19,2094.59,Potato,Urea
Loamy,4.84,28.9,133,74,99,30.0,62.37,2439.16,Potato,Compost
Clay,4.96,39.52,74,26,74,12.78,38.87,740.55,Potato,DAP
Clay,7.45,59.22,115,31,76,19.73,72.23,1571.64,Potato,DAP
Loamy,6.82,16.21,151,31,70,35.14,60.43,1892.18,Potato,DAP
Clay,5.17,13.91,52,35,94,18.16,65.11,2468.29,Potato,Urea
Sandy,6.3,38.73,37,27,21,25.97,50.08,1457.58,Potato,Urea
Sandy,7.72,49.85,36,22,11,24.56,44.51,319.87,Potato,Urea
Clay,5.37,22.75,25,49,62,34.84,84.23,1864.5,Potato,Urea
Sandy,8.16,48.44,143,39,50,26.82,46.78,2646.45,Potato,DAP
Sandy,5.25,30.24,122,89,97,15.84,86.29,972.92,Potato,Compost
Sandy,6.17,42.89,147,28,30,38.18,38.33,2520.48,Potato,DAP
Clay,7.5,53.7,143,88,50,24.75,45.38,536.15,Potato,DAP
Clay,6.61,34.01,120,63,57,27.51,60.67,1387.02,Potato,Urea
Silt,8.29,44.61,48,88,27,18.63,72.77,797.01,Potato,Urea
Sandy,7.4,57.52,147,12,22,27.85,61.46,2817.33,Potato,DAP
Clay,5.69,49.83,44,16,80,31.7,38.65,1233.85,Potato,Urea
Clay,5.17,27.23,141,15,85,16.97,48.16,540.82,Potato,DAP
Clay,5.98,50.85,154,57,10,13.53,85.53,1683.76,Potato,MOP
Loamy,7.1,47.68,45,24,36,31.09,32.18,1957.5,Potato,Urea
